,group,age,likes,sex,캘린더,축구,SNS,웹툰,날씨,인터넷방송,영화,주식 및 비트코인,미세먼지,게임,패션,이동수단에 대한 정보,토스,업무용 메신저,뉴스,유튜브,코로나 관련 소식 및 확진자 수,과제,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
mean,0,25.84210526,3.526315789,0.438596491,0.01754386,0.01754386,0.01754386,0,0.719298246,0.01754386,0,0.473684211,0.245614035,0,0,0.684210526,0,0,0.456140351,0,0.298245614,0,0.666666667,0,0.052631579,0.035087719,0.228070175,0.01754386,0,0.070175439,0,0.543859649,0.385964912,0,0.052631579,0.052631579,0.210526316,0.01754386,0.666666667,0.140350877,0,0.228070175,0.052631579,0,0.01754386,0.526315789,0.035087719
std,0,1.360008846,1.151168089,0.500626174,0.132453236,0.132453236,0.132453236,0,0.453336282,0.132453236,0,0.503745371,0.434276975,0,0,0.468961418,0,0,0.502500016,0,0.461554527,0,0.475594866,0,0.225281778,0.185637154,0.423317842,0.132453236,0,0.257713096,0,0.502500016,0.491149743,0,0.225281778,0.225281778,0.411306373,0.132453236,0.475594866,0.350438322,0,0.423317842,0.225281778,0,0.132453236,0.503745371,0.185637154
min,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50%,0,25,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75%,0,28,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
max,0,28,5,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
