age,live,through,sex,domain,transportation,most_app,likes,voice
35,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,여,자영업자,자동차,"날씨, 미세먼지, 주식 및 비트코인",2,박보영..
31.5,원룸,지인 소개,여,무직,버스,"날씨, 이동수단에 대한 정보",4,빅톤의 한승우요..^^
31.5,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,여,직장인,지하철,"뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3,좋아하는배우
21.5,원룸,에브리타임,남,학생,버스,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",5,차분한 목소리의 성우
38,가족과 함께 살고 있음,지인 소개,남,직장인,자동차,날씨,5,없음
35,원룸,지인 소개,남,직장인,자동차,"날씨, 미세먼지",4,가수 다비치의 이해리님
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,아이폰 시리와 비슷한 음성!
21.5,원룸,에브리타임,남,학생,지하철,"날씨, 이동수단에 대한 정보",2,딱히 없습니다(그냥 말만 잘 들리면 되죠)
21.5,가족과 함께 살고 있음,에브리타임,남,학생,버스,"날씨, 이동수단에 대한 정보",5,가수!
25,원룸,에브리타임,여,학생,버스,"날씨, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,"이도현, 장기용, 이창섭, 육성재, 서은광 등"
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 이동수단에 대한 정보",5,애교섞인 목소리
38,가족과 함께 살고 있음,지인 소개,남,자영업자,자동차,"뉴스, 코로나 관련 소식 및 확진자 수",5,배우
25,빌라,지인 소개,여,자영업자,지하철,이동수단에 대한 정보,2,
21.5,기숙사,에브리타임,여,학생,도보,날씨,4,
21.5,기숙사,에브리타임,남,학생,버스,"날씨, 미세먼지, 주식 및 비트코인",5,좋아하는 연예인
21.5,기숙사,에브리타임,여,학생,도보,"날씨, 이동수단에 대한 정보",2,
21.5,가족과 함께 살고 있음,에브리타임,여,학생,도보,"날씨, 미세먼지, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"미세먼지, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,이동수단에 대한 정보,3,딱히 없습니다
21.5,기숙사,에브리타임,남,학생,도보,"날씨, 미세먼지, 주식 및 비트코인",5,아나운서
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"미세먼지, 주식 및 비트코인, 이동수단에 대한 정보",2,"편안한 목소리, 튀지 않는 목소리"
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"뉴스, 이동수단에 대한 정보",3,
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"뉴스, 이동수단에 대한 정보, 영화",4,엄청 큰 목소리 까먹지 않도록 해주는
21.5,기숙사,에브리타임,남,학생,도보,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",5,시리
21.5,가족과 함께 살고 있음,에브리타임,남,학생,도보,"미세먼지, 주식 및 비트코인",3,10cm
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 뉴스, 이동수단에 대한 정보",4,"애인, 아이유(좋아하는 가수), 정재헌, 이용신(좋아하는 성우)"
25,가족과 함께 살고 있음,에브리타임,남,학생,도보,"날씨, 뉴스",3,베네딕트 컴버비치
21.5,기숙사,에브리타임,남,학생,버스,"날씨, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",4,
25,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 미세먼지, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",5,최준
25,원룸,에브리타임,남,학생,도보,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",4,기계음만 아니면 될듯
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",4,부드러운 음성
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 이동수단에 대한 정보",3,엄마나 아빠
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",4,"좋아하는 아이돌, 만화 캐릭터"
25,가족과 함께 살고 있음,에브리타임,여,직장인,자동차,"날씨, 주식 및 비트코인, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,없어요 편한 목소리면 좋겠어요 (기계적인 목소리X)
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 뉴스, 이동수단에 대한 정보",4,
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,날씨,4,
21.5,가족과 함께 살고 있음,에브리타임,여,학생,자전거 및 퍼스널 모빌리티,이동수단에 대한 정보,1,없습니다
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3,좋아하는 배우면 좋긴 할거같네요..
25,빌라,에브리타임,여,학생,지하철,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,모범택시 -이제훈
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,이동수단에 대한 정보,1,나래이션 성우
21.5,가족과 함께 살고 있음,에브리타임,여,학생,도보,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",3,기계음
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,날씨,3,당신의 목소리
28,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 미세먼지, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,"좋아하는 배우, 친구목소리"
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 이동수단에 대한 정보",5,좋아하는 성우
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",5,박강현💙 케이윌❤️ 남자시리 ㅋㅋㅋㅋ
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",5,제가 보유하고 있는 음성 클립 파일로 하고싶어요!
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 이동수단에 대한 정보",4,동굴저음
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",5,최준
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 미세먼지, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3,성시경 노래 !
25,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"미세먼지, 뉴스, 이동수단에 대한 정보",5,이용신 성우님
25,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 이동수단에 대한 정보",5,부드러운 목소리
21.5,기숙사,에브리타임,여,학생,버스,이동수단에 대한 정보,5,이용신 성우
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 이동수단에 대한 정보",4,깔끔한 여자분 목소리요! 시리보다는 좀 더 사람같은 여자분이요 ! 
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 이동수단에 대한 정보",5,좋은목소리면 상관없을듯함
21.5,원룸,블라인드,여,직장인,버스,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",3,
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,연예인 및 인플루언서
31.5,가족과 함께 살고 있음,지인 소개,남,직장인,바이크,업무용 메신저,2,딱히 있진않고 여성 음성으로 자연스러웠으면 좋겠음.
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",5,장원영
21.5,아파트,에브리타임,남,학생,도보,뉴스,3,축구선수
21.5,가족과 함께 살고 있음,에브리타임,여,학생,도보,"날씨, 미세먼지, 뉴스, 이동수단에 대한 정보",3,아이유
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 뉴스, 이동수단에 대한 정보",4,김소연 배우님
21.5,기숙사,에브리타임,남,학생,도보,"날씨, 미세먼지, 주식 및 비트코인, 뉴스",5,나이대에 따라 다를거 같긴한데 저같은경우 게임캐릭터 성우분이 해주셨으면 좋겠습니다.
31.5,가족과 함께 살고 있음,지인 소개,남,직장인,자동차,"주식 및 비트코인, 뉴스",4,태연
31.5,가족과 함께 살고 있음,지인 소개,남,직장인,자동차,"날씨, 미세먼지, 주식 및 비트코인, 뉴스",2,
31.5,가족과 함께 살고 있음,지인 소개,남,직장인,지하철,"주식 및 비트코인, 코로나 관련 소식 및 확진자 수",3,
31.5,원룸,단체카톡방 또는 오픈채팅방 링크,남,직장인,자동차,"날씨, 미세먼지, 주식 및 비트코인",2,없음
31.5,가족과 함께 살고 있음,지인 소개,여,직장인,지하철,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",4,좋아하는 성우/ 배우
