age,live,through,sex,domain,transportation,most_app,likes,voice
25,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 뉴스, 이동수단에 대한 정보",3,쓰복만
21.5,가족과 함께 살고 있음,지인 소개,여,학생,지하철,"날씨, 이동수단에 대한 정보",3,또박또박 정보전달만 잘 되면 상관없습니다 
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 이동수단에 대한 정보, 캘린더",4,"성우, 가족, 친구, 언젠가 생길 여자친구 등"
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 뉴스, 이동수단에 대한 정보",3,그냥 아나운서같은 목소리였으면 좋겠다 깔끔한..?남자버젼 여자버젼
25,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"주식 및 비트코인, 이동수단에 대한 정보",2,누구든 발음이 정확하면 좋겠습니다.
21.5,원룸,에브리타임,남,학생,도보,"날씨, 미세먼지, 뉴스",3,듣기좋은 톤과 정확한 발음을 가진 목소리
25,가족과 함께 살고 있음,지인 소개,여,자영업자,버스,"날씨, 주식 및 비트코인, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,시리나 빅스비같은 정확한 발음과 목소리
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 뉴스, 이동수단에 대한 정보",5,지하철 역에 나오는 성우 목소리
21.5,원룸,에브리타임,남,학생,도보,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",3,성우
21.5,가족과 함께 살고 있음,지인 소개,여,직장인,자전거 및 퍼스널 모빌리티,날씨,3,따로 없습니다!
25,가족과 함께 살고 있음,에브리타임,남,학생,버스,"날씨, 미세먼지, 주식 및 비트코인, 코로나 관련 소식 및 확진자 수",2,헤이즈
21.5,가족과 함께 살고 있음,지인 소개,여,학생,지하철,"날씨, 미세먼지, 뉴스, 이동수단에 대한 정보",4,일반적인 기계음
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 뉴스, 이동수단에 대한 정보",2,
25,가족과 함께 살고 있음,에브리타임,남,학생,지하철,SNS,4,여성
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3,
25,원룸,지인 소개,여,학생,지하철,"날씨, 주식 및 비트코인, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3,성우 배우 지인
25,가족과 함께 살고 있음,에브리타임,남,학생,버스,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",4,박명수 아이유 
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",5,
21.5,가족과 함께 살고 있음,지인 소개,여,학생,버스,"날씨, 미세먼지, 이동수단에 대한 정보",4,딱히 없습니다
21.5,가족과 함께 살고 있음,지인 소개,여,학생,자동차,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3,
21.5,가족과 함께 살고 있음,지인 소개,여,학생,버스,"날씨, 이동수단에 대한 정보",4, 
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,배우!!!
21.5,가족과 함께 살고 있음,지인 소개,여,학생,지하철,"날씨, 이동수단에 대한 정보",3,
25,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",3,기본음성(ex시리 같은 핸드폰 내장음성)
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 뉴스, 이동수단에 대한 정보",3,아이유 !
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 코로나 관련 소식 및 확진자 수",4,"깔끔한 목소리, 너무 느리지않은 속도"
21.5,기숙사,에브리타임,여,학생,도보,"날씨, 이동수단에 대한 정보",3,
21.5,가족과 함께 살고 있음,SNS,여,직장인,버스,"날씨, 미세먼지, 뉴스, 코로나 관련 소식 및 확진자 수",4,
21.5,아파트,에브리타임,남,학생,지하철,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",1,성우
21.5,원룸,지인 소개,여,학생,도보,"날씨, 미세먼지, 이동수단에 대한 정보",4,유튜버 에일린-개인적으로 명상&요가 채널 유튜브를 찾다가 처음으로 목소리가 거슬리지 않아 정착해 계속 듣는 채널입니다!
21.5,가족과 함께 살고 있음,지인 소개,여,학생,지하철,"날씨, 이동수단에 대한 정보",3,
28,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,여,직장인,지하철,캘린더,4,박재범
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,이동수단에 대한 정보,4,
28,원룸,지인 소개,여,직장인,버스,"주식 및 비트코인, 이동수단에 대한 정보",2,좋아하는 성우
21.5,가족과 함께 살고 있음,SNS,남,학생,지하철,"날씨, 이동수단에 대한 정보",3,
25,가족과 함께 살고 있음,에브리타임,여,학생,도보,"날씨, 이동수단에 대한 정보",2,좋아하는 성우 혹은 친구나 애인의 목소리를 녹음해서 사용
21.5,기숙사,SNS,남,학생,도보,"날씨, 미세먼지, 뉴스, 이동수단에 대한 정보",4,아이유
21.5,가족과 함께 살고 있음,지인 소개,여,학생,도보,"날씨, 주식 및 비트코인, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,상관 없음
25,가족과 함께 살고 있음,지인 소개,남,학생,자동차,"날씨, 주식 및 비트코인",4,없음
21.5,가족과 함께 살고 있음,지인 소개,여,학생,버스,"날씨, 미세먼지, 주식 및 비트코인",3,가수
28,아파트,에브리타임,여,학생,지하철,"날씨, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",4,중저음 보이스
21.5,가족과 함께 살고 있음,에브리타임,남,학생,버스,"주식 및 비트코인, 뉴스, 이동수단에 대한 정보",5,지드래곤
21.5,원룸,에브리타임,여,학생,도보,"날씨, 뉴스, 이동수단에 대한 정보",5,음악
21.5,원룸,지인 소개,남,학생,도보,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",5,최준
28,원룸,에브리타임,남,학생,자동차,"날씨, 주식 및 비트코인",5,
25,가족과 함께 살고 있음,에브리타임,남,학생,지하철,이동수단에 대한 정보,1,알아듣기 쉬운 음성
