,group,age,likes,sex,영화,이동수단에 대한 정보,토스,뉴스,주식 및 비트코인,코로나 관련 소식 및 확진자 수,유튜브,날씨,축구,패션,미세먼지,업무용 메신저,SNS,웹툰,과제,인터넷방송,게임,캘린더,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
mean,0.0,26.75,3.5833333333333335,0.5833333333333334,0.0,0.6666666666666666,0.0,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.0,0.75,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.75,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.08333333333333333,0.0,0.25,0.08333333333333333,0.0,0.0,0.5,0.08333333333333333
std,0.0,1.5447859516333116,1.164500152881315,0.5149286505444373,0.0,0.4923659639173309,0.0,0.5149286505444373,0.5149286505444373,0.5149286505444373,0.0,0.45226701686664544,0.0,0.0,0.49236596391733095,0.0,0.0,0.0,0.0,0.0,0.0,0.28867513459481287,0.45226701686664544,0.0,0.0,0.28867513459481287,0.38924947208076155,0.0,0.0,0.45226701686664544,0.0,0.45226701686664544,0.5222329678670935,0.0,0.0,0.0,0.0,0.0,0.0,0.28867513459481287,0.0,0.45226701686664544,0.28867513459481287,0.0,0.0,0.5222329678670935,0.28867513459481287
min,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,28.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
75%,0.0,28.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0
max,0.0,28.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
