,group,age,likes,sex,영화,이동수단에 대한 정보,토스,뉴스,주식 및 비트코인,코로나 관련 소식 및 확진자 수,유튜브,날씨,축구,패션,미세먼지,업무용 메신저,SNS,웹툰,과제,인터넷방송,게임,캘린더,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
mean,1.0,32.21052631578947,3.210526315789474,0.2631578947368421,0.0,0.3684210526315789,0.0,0.5789473684210527,0.5263157894736842,0.10526315789473684,0.05263157894736842,0.7368421052631579,0.0,0.0,0.2631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.5789473684210527,0.0,0.05263157894736842,0.05263157894736842,0.3157894736842105,0.0,0.0,0.21052631578947367,0.0,0.0,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.3684210526315789,0.0,0.0,0.42105263157894735,0.0
std,0.0,1.7819760370137496,1.3572417850765923,0.4524139283588641,0.0,0.49559462778335206,0.0,0.5072572735017881,0.5129891760425771,0.3153017676423058,0.22941573387056177,0.45241392835886407,0.0,0.0,0.4524139283588641,0.22941573387056177,0.0,0.0,0.0,0.0,0.0,0.0,0.5072572735017881,0.0,0.22941573387056177,0.22941573387056177,0.47756693294091923,0.0,0.0,0.41885390829169555,0.0,0.0,0.41885390829169555,0.0,0.0,0.0,0.0,0.0,0.0,0.22941573387056177,0.22941573387056177,0.3153017676423058,0.49559462778335206,0.0,0.0,0.5072572735017881,0.0
min,1.0,31.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1.0,31.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,1.0,31.5,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1.0,31.5,4.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
max,1.0,38.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
