,group,age,likes,sex,인터넷방송,패션,토스,SNS,미세먼지,이동수단에 대한 정보,뉴스,주식 및 비트코인,날씨,웹툰,캘린더,과제,축구,영화,코로나 관련 소식 및 확진자 수,업무용 메신저,유튜브,게임,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
mean,0,21.5,3.655172414,0,0,0,0,0.017241379,0.310344828,0.706896552,0.551724138,0.517241379,0.706896552,0,0.017241379,0,0,0.017241379,0.172413793,0,0,0.017241379,0.620689655,0.103448276,0.051724138,0.051724138,0.155172414,0.017241379,0.068965517,0.017241379,0,0.706896552,0.206896552,0.017241379,0,0,0,0,0.982758621,0.25862069,0,0.206896552,0.034482759,0.034482759,0,0.465517241,0
std,0,0,1.178040659,0,0,0,0,0.131306433,0.466675309,0.45916097,0.501660883,0.504066945,0.45916097,0,0.131306433,0,0,0.131306433,0.381038794,0,0,0.131306433,0.489453193,0.307203297,0.223403796,0.223403796,0.3652312,0.131306433,0.255608594,0.131306433,0,0.45916097,0.408618584,0.131306433,0,0,0,0,0.131306433,0.441701051,0,0.408618584,0.184059224,0.184059224,0,0.50316602,0
min,0,21.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,0,21.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,0,21.5,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75%,0,21.5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,0,1,0
max,0,21.5,5,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,21.5살,,날씨,0.71,,가족,0.62,,에브리타임,0.71,,학생,0.98,,지하철,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.66점,,이동수단,0.71,,원룸,0.16,,지인,0.21,,군인,0.02,,도보,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,남자,,뉴스,0.55,,기숙사,0.1,,,,,,,,버스,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,58 샘플,,주식,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,미세먼지,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,코로나,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
