,group,age,likes,sex,코로나 관련 소식 및 확진자 수,날씨,업무용 메신저,주식 및 비트코인,유튜브,이동수단에 대한 정보,웹툰,캘린더,인터넷방송,게임,토스,미세먼지,SNS,영화,과제,패션,뉴스,축구,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
mean,0,21.5,3.651933702,0.690607735,0.17679558,0.790055249,0,0.270718232,0,0.762430939,0,0.011049724,0,0.005524862,0.005524862,0.276243094,0.016574586,0.005524862,0.005524862,0.005524862,0.348066298,0,0.70718232,0.082872928,0.022099448,0.022099448,0.160220994,0.005524862,0.027624309,0.033149171,0.005524862,0.767955801,0.165745856,0.005524862,0,0,0.022099448,0,0.972375691,0.20441989,0,0.314917127,0,0.022099448,0,0.458563536,0
std,0,0,1.041024664,0.463525339,0.382553856,0.40839863,0,0.445563355,0,0.426774273,0,0.104825266,0,0.074329415,0.074329415,0.448378841,0.12802509,0.074329415,0.074329415,0.074329415,0.477678548,0,0.456317768,0.276454799,0.1474148,0.1474148,0.367828396,0.074329415,0.164348519,0.179522592,0.074329415,0.423308028,0.372883839,0.074329415,0,0,0.1474148,0,0.164348519,0.404395736,0,0.465771306,0,0.1474148,0,0.499662255,0
min,0,21.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,0,21.5,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,0,21.5,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75%,0,21.5,4,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
max,0,21.5,5,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.5살,,날씨,0.79,,가족,0.71,,에타,0.77,,학생,0.97,,지하철,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.65점,,이동수단,0.76,,원룸,0.16,,지인,0.17,,직장인,0.02,,버스,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,181 샘플,,뉴스,0.35,,기숙사,0.08,,,,,,,,도보,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.69 남여,,미세먼지,0.28,,,,,,,,,,,자전거,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,주식 ,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,코로나,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
