,group,age,likes,sex,뉴스,미세먼지,SNS,영화,업무용 메신저,이동수단에 대한 정보,주식 및 비트코인,날씨,게임,인터넷방송,패션,토스,축구,웹툰,캘린더,과제,유튜브,코로나 관련 소식 및 확진자 수,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
mean,2,25.69230769,3.615384615,0.538461538,0.538461538,0.076923077,0,0,0,0.692307692,0.692307692,0.538461538,0,0,0,0,0,0,0,0,0,0.230769231,0,0,0,0,1,0,0,0.076923077,0,0.461538462,0.461538462,0,0,0,0.153846154,0.076923077,0.769230769,0.307692308,0,0.230769231,0.076923077,0,0.076923077,0.307692308,0
std,0,1.315587029,1.120897077,0.518874522,0.518874522,0.277350098,0,0,0,0.480384461,0.480384461,0.518874522,0,0,0,0,0,0,0,0,0,0.43852901,0,0,0,0,0,0,0,0.277350098,0,0.518874522,0.518874522,0,0,0,0.375533808,0.277350098,0.43852901,0.480384461,0,0.43852901,0.277350098,0,0.277350098,0.480384461,0
min,2,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,2,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,2,25,4,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75%,2,25,4,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
max,2,28,5,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.7세,,이동수단에 대한 정보,0.69,,에브리타임,0.42,,학생,0.77,,도보,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.62점,,주식 및 비트코인,0.69,,지인소개,0.42,,직장인,0.15,,지하철,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.54 남여,,날씨,0.54,,,,,,,,버스,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13 샘플,,뉴스,0.54,,,,,,,,자동차,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,코로나 관련 소식 및 확진자 수,0.23,,,,,,,,재택,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
