,group,age,likes,sex,뉴스,미세먼지,SNS,영화,업무용 메신저,이동수단에 대한 정보,주식 및 비트코인,날씨,게임,인터넷방송,패션,토스,축구,웹툰,캘린더,과제,유튜브,코로나 관련 소식 및 확진자 수,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
mean,1,32,3.428571429,0.285714286,0.285714286,0.285714286,0,0,0,0.571428571,0.428571429,0.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.285714286,0,0,0.714285714,0,0.142857143,0,0.857142857,0,0,0.142857143,0,0.142857143,0.428571429,0,0,0.285714286,0
std,0,1.322875656,1.397276262,0.487950036,0.487950036,0.487950036,0,0,0,0.534522484,0.534522484,0.377964473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487950036,0,0,0.487950036,0,0.377964473,0,0.377964473,0,0,0.377964473,0,0.377964473,0.534522484,0,0,0.487950036,0
min,1,31.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,1,31.5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50%,1,31.5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75%,1,31.5,4,0.5,0.5,0.5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.5,0
max,1,35,5,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32살,,날씨,0.86,,지인 소개,0.71,,직장인,0.86,,자동차,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.43점,,이동수단에 대한 정보,0.57,,단톡방,0.29,,무직,0.14,,지하철,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.29 남여,,주식 및 비트코인,0.43,,,,,,,,버스,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7 샘플,,뉴스,0.29,,,,,,,,도보,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,미세먼지,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
