,group,age,likes,sex,뉴스,유튜브,영화,날씨,코로나 관련 소식 및 확진자 수,웹툰,인터넷방송,캘린더,토스,이동수단에 대한 정보,과제,SNS,패션,업무용 메신저,주식 및 비트코인,미세먼지,게임,축구,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
mean,1,22.66666667,3.5,0.5,0.5,0,0,0.833333333,0.5,0,0,0,0,0.666666667,0,0,0,0,0.833333333,0.666666667,0,0,0.666666667,0,0.166666667,0.166666667,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0.166666667,0,0.833333333,0,0,0,1,0,0,0,0
std,0,1.807392228,0.836660027,0.547722558,0.547722558,0,0,0.40824829,0.547722558,0,0,0,0,0.516397779,0,0,0,0,0.40824829,0.516397779,0,0,0.516397779,0,0.40824829,0.40824829,0,0,0,0,0,0.516397779,0.516397779,0,0,0,0.40824829,0,0.40824829,0,0,0,0,0,0,0,0
min,1,21.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25%,1,21.5,3.25,0,0,0,0,1,0,0,0,0,0,0.25,0,0,0,0,1,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,1,0,0,0,1,0,0,0,0
50%,1,21.5,4,0.5,0.5,0,0,1,0.5,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
75%,1,24.125,4,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.75,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
max,1,25,4,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22.7살,,날씨,0.83,,가족,0.67,,지인,0.67,,직장인,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.5 점,,주식 및 비트코인,0.83,,빌라,0.17,,에타,0.34,,학생,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6 샘플,,미세먼지,0.67,,아파트,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.5 남여,,이동수단,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,코로나,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,뉴스,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
