,group,age,likes,sex,뉴스,유튜브,영화,날씨,코로나 관련 소식 및 확진자 수,웹툰,인터넷방송,캘린더,토스,이동수단에 대한 정보,과제,SNS,패션,업무용 메신저,주식 및 비트코인,미세먼지,게임,축구,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
mean,0,31,3.857142857,0.285714286,0.571428571,0.142857143,0,0.714285714,0,0,0,0,0,0.142857143,0,0,0,0,0.857142857,0.285714286,0,0,0.571428571,0,0,0,0.428571429,0,0,0.142857143,0,0.142857143,0.714285714,0,0,0,0.714285714,0.142857143,0.142857143,0,0,0,1,0,0,0,0
std,0,1.322875656,1.345185418,0.487950036,0.534522484,0.377964473,0,0.487950036,0,0,0,0,0,0.377964473,0,0,0,0,0.377964473,0.487950036,0,0,0.534522484,0,0,0,0.534522484,0,0,0.377964473,0,0.377964473,0.487950036,0,0,0,0.487950036,0.377964473,0.377964473,0,0,0,0,0,0,0,0
min,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25%,0,31.5,3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0
50%,0,31.5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
75%,0,31.5,5,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
max,0,31.5,5,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31살,,주식,0.86,,가족과 함께,0.57,,지인,0.71,,직장인,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.85점,,날씨,0.71,,원룸,0.43,,단톡,0.14,,프리랜서,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,샘플 7,,뉴스,0.57,,,,,에타,0.14,,학생,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.28 남여,,미세먼지,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,이동수단,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,유튜브,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
