,group,age,likes,sex,미세먼지,토스,캘린더,과제,인터넷방송,패션,웹툰,주식 및 비트코인,코로나 관련 소식 및 확진자 수,유튜브,뉴스,이동수단에 대한 정보,날씨,게임,SNS,축구,업무용 메신저,영화,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185
mean,1,21.5,3.643243243,0.686486486,0.291891892,0.005405405,0.010810811,0.005405405,0,0.005405405,0,0.281081081,0.183783784,0,0.356756757,0.762162162,0.789189189,0.005405405,0.016216216,0,0,0.005405405,0.702702703,0.081081081,0.027027027,0.027027027,0.156756757,0.005405405,0.027027027,0.032432432,0.005405405,0.756756757,0.178378378,0.005405405,0,0,0.021621622,0,0.972972973,0.2,0,0.308108108,0.021621622,0.021621622,0,0.448648649,0
std,0,0,1.038534853,0.465180051,0.455866577,0.073521462,0.103692123,0.073521462,0,0.073521462,0,0.450746867,0.388358805,0,0.480342122,0.42691471,0.408991192,0.073521462,0.126648936,0,0,0.073521462,0.458308852,0.273700326,0.162602223,0.162602223,0.364557907,0.073521462,0.162602223,0.177626339,0.073521462,0.430205045,0.383869837,0.073521462,0,0,0.145839279,0,0.162602223,0.401085484,0,0.462964443,0.145839279,0.145839279,0,0.498705728,0
min,1,21.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,1,21.5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,1,21.5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75%,1,21.5,4,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
max,1,21.5,5,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20대 초반,,날씨,0.79,,가족과 함께,0.7,,에브리타임,0.76,,학생,0.97,,지하철,0.45,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3.64점,,이동수단에 대한 정보,0.76,,원룸,0.16,,지인 소개,0.18,,직장인,0.02,,버스,0.31,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.69 남여,,뉴스,0.36,,기숙사,0.08,,,,,,,,도보,0.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,미세먼지,0.29,,,,,,,,,,,"자전거, 모빌리티, 자동차",0.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,주식 및 비트코인,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
