,group,age,likes,sex,미세먼지,이동수단에 대한 정보,날씨,코로나 관련 소식 및 확진자 수,과제,웹툰,유튜브,뉴스,토스,주식 및 비트코인,인터넷방송,캘린더,영화,축구,게임,패션,SNS,업무용 메신저,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
mean,1,21.5,3.623076923,0.723076923,0.253846154,0.792307692,0.761538462,0.192307692,0.007692308,0,0,0.361538462,0.007692308,0.246153846,0,0.015384615,0.007692308,0,0.007692308,0.007692308,0.015384615,0,1,0,0,0,0,0,0.030769231,0.046153846,0,0.730769231,0.192307692,0.007692308,0,0,0.023076923,0,0.969230769,0.092307692,0,0.338461538,0.015384615,0.023076923,0,0.530769231,0
std,0,0,1.021212113,0.449209204,0.436894227,0.40722456,0.427791265,0.395638114,0.087705802,0,0,0.482304644,0.087705802,0.432435656,0,0.123553044,0.087705802,0,0.087705802,0.087705802,0.123553044,0,0,0,0,0,0,0,0.173359936,0.210629859,0,0.445276006,0.395638114,0.087705802,0,0,0.150728701,0,0.173359936,0.290579582,0,0.475016869,0.123553044,0.150728701,0,0.500982934,0
min,1,21.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,1,21.5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,1,21.5,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75%,1,21.5,4,1,0.75,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
max,1,21.5,5,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21.5살,,이동수단,0.79,,에브리타임,0.73,,학생,0.97,,지하철,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.62,,날씨,0.76,,지인,0.19,,,,,버스,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.72 남여,,뉴스,0.36,,,,,,,,도보,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,미세먼지,0.253,,,,,,,,자전거,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,주식 및 비트코인,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,코로나,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
