,group,age,likes,sex,코로나 관련 소식 및 확진자 수,뉴스,게임,이동수단에 대한 정보,날씨,SNS,인터넷방송,영화,유튜브,미세먼지,웹툰,캘린더,과제,토스,축구,업무용 메신저,주식 및 비트코인,패션,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
mean,0,21.5,4.37962963,0.685185185,0.203703704,0.333333333,0.009259259,0.805555556,0.861111111,0.018518519,0,0.009259259,0,0.333333333,0,0.018518519,0.009259259,0.009259259,0,0,0.287037037,0,0.675925926,0.111111111,0.037037037,0.018518519,0.148148148,0.009259259,0.018518519,0.009259259,0,0.805555556,0.166666667,0,0,0,0,0,1,0.212962963,0,0.314814815,0.018518519,0.018518519,0,0.435185185,0
std,0,0,0.487557187,0.466607325,0.404628808,0.473602223,0.096225045,0.397617515,0.347442817,0.13544537,0,0.096225045,0,0.473602223,0,0.13544537,0.096225045,0.096225045,0,0,0.454488023,0,0.47020981,0.315734815,0.189733011,0.13544537,0.356902951,0.096225045,0.13544537,0.096225045,0,0.397617515,0.374415432,0,0,0,0,0,0,0.411310328,0,0.466607325,0.13544537,0.13544537,0,0.498092589,0
min,0,21.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25%,0,21.5,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,0,21.5,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75%,0,21.5,5,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
max,0,21.5,5,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.5살,,날씨,0.86,,가족과 함께,0.68,,에브리타임,0.81,,지하철,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4.38점,,이동수단,0.81,,원룸,0.15,,지인,0.17,,버스,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.69 남여,,뉴스,0.33,,기숙사,0.11,,,,,도보,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,108 샘플,,미세먼지,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,주식,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,코로나,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
