,group,age,likes,sex,코로나 관련 소식 및 확진자 수,뉴스,게임,이동수단에 대한 정보,날씨,SNS,인터넷방송,영화,유튜브,미세먼지,웹툰,캘린더,과제,토스,축구,업무용 메신저,주식 및 비트코인,패션,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
mean,2,25.47368421,3.552631579,0.368421053,0.263157895,0.473684211,0,0.684210526,0.710526316,0.026315789,0.026315789,0,0,0.263157895,0,0,0,0,0.026315789,0,0.394736842,0,0.657894737,0,0.052631579,0.026315789,0.263157895,0,0,0,0,0.736842105,0.263157895,0,0,0,0,0,1,0.157894737,0,0.236842105,0.052631579,0,0.026315789,0.5,0.026315789
std,0,1.108611064,1.223582874,0.48885153,0.44625835,0.506009406,0,0.471069121,0.459605867,0.162221421,0.162221421,0,0,0.44625835,0,0,0,0,0.162221421,0,0.495355383,0,0.480782908,0,0.226294286,0.162221421,0.44625835,0,0,0,0,0.44625835,0.44625835,0,0,0,0,0,0,0.369537021,0,0.430851484,0.226294286,0,0.162221421,0.50671171,0.162221421
min,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25%,2,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,2,25,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0
75%,2,25,4.75,1,0.75,1,0,1,1,0,0,0,0,0.75,0,0,0,0,0,0,1,0,1,0,0,0,0.75,0,0,0,0,1,0.75,0,0,0,0,0,1,0,0,0,0,0,0,1,0
max,2,28,5,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,25.5살,,날씨,0.71,,가족,0.66,,에브리타임,0.74,,지하철,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.55점,,이동수단,0.68,,원룸,0.26,,지인,0.26,,버스,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.37 남여,,뉴스,0.47,,,,,,,,도보,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,38 샘플,,주식,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,코로나,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,미세먼지,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
