,group,age,likes,sex,인터넷방송,캘린더,게임,날씨,토스,영화,업무용 메신저,축구,미세먼지,뉴스,코로나 관련 소식 및 확진자 수,웹툰,SNS,유튜브,주식 및 비트코인,이동수단에 대한 정보,패션,과제,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
mean,0,21.5,3.637795276,1,0,0.007874016,0,0.826771654,0.007874016,0,0,0,0.283464567,0.267716535,0.188976378,0,0.015748031,0,0.173228346,0.787401575,0.007874016,0.007874016,0.74015748,0.070866142,0.015748031,0.015748031,0.157480315,0,0.007874016,0.039370079,0.007874016,0.779527559,0.165354331,0,0,0,0.031496063,0,0.968503937,0.173228346,0,0.354330709,0.015748031,0.015748031,0,0.440944882,0
std,0,0,0.973206868,0,0,0.088735651,0,0.379943358,0.088735651,0,0,0,0.452464816,0.444522553,0.393040316,0,0.124992188,0,0.379943358,0.410766246,0.088735651,0.088735651,0.440284872,0.25761736,0.124992188,0.124992188,0.365695616,0,0.088735651,0.19524404,0.088735651,0.416207096,0.372971328,0,0,0,0.17534582,0,0.17534582,0.379943358,0,0.480204306,0.124992188,0.124992188,0,0.49846659,0
min,0,21.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,0,21.5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,0,21.5,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75%,0,21.5,4,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
max,0,21.5,5,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
