,group,age,likes,sex,인터넷방송,캘린더,게임,날씨,토스,영화,업무용 메신저,축구,미세먼지,뉴스,코로나 관련 소식 및 확진자 수,웹툰,SNS,유튜브,주식 및 비트코인,이동수단에 대한 정보,패션,과제,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
mean,2,31.88888889,3.222222222,1,0,0,0,0.666666667,0,0,0,0,0.333333333,0.555555556,0.111111111,0,0,0,0.666666667,0.555555556,0,0,0.666666667,0,0,0.111111111,0.222222222,0,0,0.222222222,0,0,0.777777778,0,0.111111111,0.222222222,0.555555556,0.111111111,0,0,0,0.222222222,0.333333333,0,0,0.444444444,0
std,0,1.166666667,1.301708279,0,0,0,0,0.5,0,0,0,0,0.5,0.527046277,0.333333333,0,0,0,0.5,0.527046277,0,0,0.5,0,0,0.333333333,0.440958552,0,0,0.440958552,0,0,0.440958552,0,0.333333333,0.440958552,0.527046277,0.333333333,0,0,0,0.440958552,0.5,0,0,0.527046277,0
min,2,31.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,2,31.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50%,2,31.5,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75%,2,31.5,4,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
max,2,35,5,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.9살,,날씨,0.67,,가족과 함께,0.67,,지인 소개,0.78,,직장인,0.56,,지하철,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.22점,,주식,0.67,,원룸,0.22,,단체카톡방,0.22,,자영업자,0.22,,자동차,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,여자,,뉴스,0.56,,아파트,0.11,,,,,프리랜서,0.11,,버스,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9 샘플,,이동수단,0.56,,,,,,,,무직,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,미세먼지,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,코로나,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
